AgeGroup,Differentiation,Stemness
"Age[20,60)",0.140692551,0.084490988
"Age[20,60)",0.113468031,0.066209799
"Age[20,60)",0.086348584,0.064183582
"Age[20,60)",0.102667357,0.05707505
"Age[20,60)",0.077351282,0.044674519
"Age[20,60)",0.089422683,0.060863589
"Age[20,60)",0.075643041,0.035599745
"Age[20,60)",0.071379947,0.087006933
"Age[20,60)",0.106036025,0.06137127
"Age[20,60)",0.041920401,0.040071898
"Age[20,60)",0.090743834,0.054400147
"Age[20,60)",0.078450382,0.074123469
"Age[20,60)",0.099807802,0.066099476
"Age[20,60)",0.063352128,0.041206239
"Age[20,60)",0.136479478,0.083849962
"Age[20,60)",0.100541193,0.09819922
"Age[20,60)",0.087390931,0.067262782
"Age[20,60)",0.092736467,0.088801746
"Age[20,60)",0.080112152,0.076383468
"Age[20,60)",0.089671008,0.052289901
"Age[20,60)",0.082795036,0.058969258
"Age[20,60)",0.0783432,0.075060049
"Age[20,60)",0.098417814,0.047612947
"Age[20,60)",0.093762116,0.066426072
"Age[20,60)",0.149965621,0.08487392
"Age[20,60)",0.111145726,0.079673584
"Age[20,60)",0.099535986,0.079955259
"Age[20,60)",0.129575427,0.081563524
"Age[20,60)",0.101761017,0.070046775
"Age[20,60)",0.113842359,0.069631762
"Age[20,60)",0.126099778,0.082962975
"Age[20,60)",0.113962261,0.082360749
"Age[20,60)",0.106096042,0.090840498
"Age[20,60)",0.113493666,0.065369491
"Age[20,60)",0.091652212,0.060258878
"Age[20,60)",0.09238998,0.063242223
"Age[20,60)",0.106592331,0.070072754
"Age[20,60)",0.105707759,0.076387772
"Age[20,60)",0.109524326,0.066036518
"Age[20,60)",0.112151943,0.079885763
"Age[20,60)",0.074450145,0.077113738
"Age[20,60)",0.116730537,0.060612774
"Age[20,60)",0.085925221,0.04530498
"Age[20,60)",0.107093779,0.112583587
"Age[20,60)",0.108894182,0.08809294
"Age[20,60)",0.10844983,0.08448181
"Age[20,60)",0.094221382,0.089275818
"Age[20,60)",0.127169336,0.074011825
"Age[20,60)",0.112442973,0.053285961
"Age[20,60)",0.097168987,0.04194057
"Age[20,60)",0.109847451,0.088698903
"Age[20,60)",0.14812633,0.089404139
"Age[20,60)",0.101768705,0.056925121
"Age[20,60)",0.110732429,0.083228099
"Age[20,60)",0.095924389,0.054895329
"Age[20,60)",0.061472646,0.039166962
"Age[20,60)",0.123014744,0.082988553
"Age[20,60)",0.135171743,0.080976348
"Age[20,60)",0.101482822,0.065692587
"Age[20,60)",0.102350251,0.063412043
"Age[20,60)",0.074350163,0.039258371
"Age[20,60)",0.11837184,0.043457143
"Age[20,60)",0.068105317,0.043517103
"Age[20,60)",0.074360533,0.058814878
"Age[20,60)",0.067550421,0.061598458
"Age[20,60)",0.066864189,0.054559959
"Age[20,60)",0.073178017,0.055170613
"Age[20,60)",0.084830752,0.041823101
"Age[20,60)",0.11737487,0.082787176
"Age[20,60)",0.099366064,0.069756229
"Age[20,60)",0.097524955,0.058838918
"Age[20,60)",0.098057725,0.081575684
"Age[20,60)",0.109483094,0.074181353
"Age[20,60)",0.070619829,0.054592726
"Age[20,60)",0.063601615,0.036501905
"Age[20,60)",0.119622651,0.114370905
"Age[20,60)",0.085396483,0.056776869
"Age[20,60)",0.090526585,0.062534493
"Age[20,60)",0.107084621,0.082471358
"Age[20,60)",0.070579887,0.081324805
"Age[20,60)",0.095747725,0.073751324
"Age[20,60)",0.129514498,0.103749212
"Age[20,60)",0.092898199,0.077910895
"Age[20,60)",0.138002738,0.090600616
"Age[20,60)",0.096571357,0.077791592
"Age[20,60)",0.095469936,0.057513349
"Age[20,60)",0.077689761,0.050104998
"Age[20,60)",0.083458151,0.059982379
"Age[20,60)",0.095613329,0.078485088
"Age[20,60)",0.070357766,0.08311989
"Age[20,60)",0.117976895,0.074677372
"Age[20,60)",0.077002176,0.06732585
"Age[20,60)",0.087788911,0.049777542
"Age[20,60)",0.083608864,0.037358204
"Age[20,60)",0.087784948,0.064262758
"Age[20,60)",0.104173704,0.083247366
"Age[20,60)",0.139496824,0.078126562
"Age[20,60)",0.085232249,0.060645103
"Age[20,60)",0.108695098,0.07551423
"Age[20,60)",0.112897651,0.079874082
"Age[20,60)",0.133692435,0.087007355
"Age[20,60)",0.091959597,0.074349436
"Age[20,60)",0.112424543,0.065707173
"Age[20,60)",0.121186497,0.081570386
"Age[20,60)",0.089467476,0.062834587
"Age[20,60)",0.07707403,0.040199123
"Age[20,60)",0.132974749,0.089399309
"Age[20,60)",0.114245854,0.092713539
"Age[20,60)",0.111452863,0.072681259
