AgeGroup,Overexpressed,Underexpressed
"Age[20,60)",0.152106931,-0.000326613
"Age[20,60)",0.154080725,0.002176324
"Age[20,60)",0.102965418,0.016393353
"Age[20,60)",0.15226501,-0.010451337
"Age[20,60)",0.140330548,-0.015172699
"Age[20,60)",0.135788339,0.007445264
"Age[20,60)",0.09136679,-0.021597763
"Age[20,60)",0.132805106,-0.005961231
"Age[20,60)",0.150913811,0.003143881
"Age[20,60)",0.166056705,-0.034585718
"Age[20,60)",0.176658693,0.018809908
"Age[20,60)",0.161252168,-0.008801011
"Age[20,60)",0.181302866,0.00561414
"Age[20,60)",0.146997142,0.008187326
"Age[20,60)",0.173606748,0.032597858
"Age[20,60)",0.121418771,-0.025453793
"Age[20,60)",0.164237665,0.00559904
"Age[20,60)",0.157547673,0.00647867
"Age[20,60)",0.129027359,0.016263934
"Age[20,60)",0.150681684,-0.029129434
"Age[20,60)",0.136230661,-0.027357174
"Age[20,60)",0.160299651,0.033592879
"Age[20,60)",0.140506828,0.020859758
"Age[20,60)",0.085253855,0.010035125
"Age[20,60)",0.08617512,0.004616396
"Age[20,60)",0.117574521,0.001593735
"Age[20,60)",0.127192384,0.027324851
"Age[20,60)",0.106589277,0.061105646
"Age[20,60)",0.142342094,0.017416475
"Age[20,60)",0.132758576,0.060105564
"Age[20,60)",0.158291007,0.007794461
"Age[20,60)",0.105482134,0.056095205
"Age[60,90)",0.058432749,0.006168943
"Age[20,60)",0.087084986,0.041727078
"Age[20,60)",0.046567721,-0.009187586
"Age[20,60)",0.087009811,0.062438568
"Age[20,60)",0.059959164,0.00211268
"Age[20,60)",0.051123779,0.026475564
"Age[20,60)",0.05545144,0.011537146
"Age[20,60)",0.031356364,0.078016065
"Age[20,60)",0.079467694,0.099621588
"Age[20,60)",0.064747655,0.035431386
"Age[20,60)",0.023519739,0.037368193
"Age[20,60)",0.072118066,0.058369232
"Age[20,60)",0.129778245,0.00915593
"Age[20,60)",0.03123744,0.002735368
"Age[20,60)",0.030086611,0.041432201
"Age[20,60)",0.050505585,0.031043755
"Age[60,90)",0.172223778,0.056246056
"Age[60,90)",0.12867825,0.029361161
"Age[60,90)",0.163229592,0.058324542
"Age[60,90)",0.129355848,0.03293411
"Age[60,90)",0.11633928,0.081666317
"Age[60,90)",-0.003264315,0.07340459
"Age[60,90)",0.187338391,0.025300707
"Age[60,90)",0.193685886,0.072467356
"Age[60,90)",0.140562248,0.039406317
"Age[60,90)",0.039161951,0.035567353
"Age[60,90)",0.136806052,0.043990458
"Age[60,90)",0.086057569,0.050073775
"Age[60,90)",0.163072628,0.043280307
"Age[60,90)",0.137996942,0.019610297
"Age[60,90)",0.153999013,0.030459882
"Age[60,90)",0.134235421,0.012012536
"Age[20,60)",0.153203262,0.066006032
"Age[60,90)",0.122783308,0.074010436
"Age[60,90)",0.212895505,0.04155689
