CellType,Organ,CellNum
iCAF,FetalStomach,5
LipFB,FetalStomach,0
MetFB,FetalStomach,0
myoCAF,FetalStomach,2
PapFB,FetalStomach,0
ProFB,FetalStomach,0
UniFB,FetalStomach,92
ActFB,FetalThymus,0
apCAF,FetalThymus,0
CycFB,FetalThymus,1
CytFB,FetalThymus,0
DerFB,FetalThymus,0
DevFB,FetalThymus,0
EpiFB,FetalThymus,0
FCC,FetalThymus,0
FCPC,FetalThymus,0
iCAF,FetalThymus,0
LipFB,FetalThymus,0
MetFB,FetalThymus,0
myoCAF,FetalThymus,0
PapFB,FetalThymus,0
ProFB,FetalThymus,0
UniFB,FetalThymus,0
ActFB,Gallbladder,3
apCAF,Gallbladder,138
CycFB,Gallbladder,4
CytFB,Gallbladder,0
DerFB,Gallbladder,146
DevFB,Gallbladder,0
EpiFB,Gallbladder,7
FCC,Gallbladder,4
FCPC,Gallbladder,1
iCAF,Gallbladder,2221
LipFB,Gallbladder,0
MetFB,Gallbladder,0
myoCAF,Gallbladder,30
PapFB,Gallbladder,0
ProFB,Gallbladder,0
UniFB,Gallbladder,43
ActFB,Heart,2
apCAF,Heart,54
CycFB,Heart,45
CytFB,Heart,2
DerFB,Heart,8
DevFB,Heart,0
EpiFB,Heart,0
FCC,Heart,18
FCPC,Heart,126
iCAF,Heart,1351
LipFB,Heart,9
MetFB,Heart,20
myoCAF,Heart,62
PapFB,Heart,1
ProFB,Heart,0
UniFB,Heart,3499
ActFB,Intestinal,9
apCAF,Intestinal,27
CycFB,Intestinal,65
CytFB,Intestinal,43
DerFB,Intestinal,135
DevFB,Intestinal,5
EpiFB,Intestinal,1
FCC,Intestinal,397
FCPC,Intestinal,21
iCAF,Intestinal,1484
LipFB,Intestinal,9
MetFB,Intestinal,17
myoCAF,Intestinal,214
PapFB,Intestinal,2
ProFB,Intestinal,2
UniFB,Intestinal,2985
ActFB,Kidney,0
apCAF,Kidney,0
CycFB,Kidney,0
CytFB,Kidney,1
DerFB,Kidney,0
DevFB,Kidney,0
EpiFB,Kidney,0
FCC,Kidney,0
FCPC,Kidney,1
iCAF,Kidney,1
LipFB,Kidney,0
MetFB,Kidney,0
myoCAF,Kidney,2
PapFB,Kidney,0
ProFB,Kidney,0
UniFB,Kidney,1
ActFB,Liver,4
apCAF,Liver,2
CycFB,Liver,0
CytFB,Liver,0
DerFB,Liver,4
DevFB,Liver,0
EpiFB,Liver,0
FCC,Liver,0
FCPC,Liver,1
iCAF,Liver,0
LipFB,Liver,0
MetFB,Liver,0
myoCAF,Liver,0
PapFB,Liver,0
ProFB,Liver,0
UniFB,Liver,13
ActFB,Lung,10811
apCAF,Lung,176
CycFB,Lung,4282
CytFB,Lung,3157
DerFB,Lung,174
DevFB,Lung,149
EpiFB,Lung,820
FCC,Lung,963
FCPC,Lung,2061
iCAF,Lung,1114
LipFB,Lung,528
MetFB,Lung,168
myoCAF,Lung,3459
PapFB,Lung,2
ProFB,Lung,53
UniFB,Lung,1757
ActFB,Lymph_Node,1
apCAF,Lymph_Node,0
CycFB,Lymph_Node,0
CytFB,Lymph_Node,12
DerFB,Lymph_Node,0
DevFB,Lymph_Node,0
EpiFB,Lymph_Node,0
FCC,Lymph_Node,0
FCPC,Lymph_Node,0
iCAF,Lymph_Node,1
LipFB,Lymph_Node,96
MetFB,Lymph_Node,1
myoCAF,Lymph_Node,4
PapFB,Lymph_Node,0
ProFB,Lymph_Node,0
UniFB,Lymph_Node,1
ActFB,Mammary,9
apCAF,Mammary,0
CycFB,Mammary,14
CytFB,Mammary,0
DerFB,Mammary,1603
DevFB,Mammary,1
EpiFB,Mammary,0
FCC,Mammary,1
FCPC,Mammary,0
iCAF,Mammary,23
LipFB,Mammary,0
MetFB,Mammary,0
myoCAF,Mammary,5
PapFB,Mammary,0
ProFB,Mammary,0
UniFB,Mammary,45
ActFB,Muscle,36
apCAF,Muscle,21
CycFB,Muscle,106
CytFB,Muscle,220
DerFB,Muscle,14
DevFB,Muscle,0
EpiFB,Muscle,3
FCC,Muscle,82
FCPC,Muscle,164
iCAF,Muscle,1732
LipFB,Muscle,732
MetFB,Muscle,11408
myoCAF,Muscle,370
PapFB,Muscle,958
ProFB,Muscle,0
UniFB,Muscle,348
ActFB,Nasopharymgeal,0
apCAF,Nasopharymgeal,3
CycFB,Nasopharymgeal,1
CytFB,Nasopharymgeal,0
DerFB,Nasopharymgeal,2
DevFB,Nasopharymgeal,0
EpiFB,Nasopharymgeal,0
FCC,Nasopharymgeal,0
FCPC,Nasopharymgeal,0
iCAF,Nasopharymgeal,0
LipFB,Nasopharymgeal,0
MetFB,Nasopharymgeal,0
myoCAF,Nasopharymgeal,0
PapFB,Nasopharymgeal,0
ProFB,Nasopharymgeal,0
UniFB,Nasopharymgeal,17
ActFB,Omentum,2
apCAF,Omentum,93
CycFB,Omentum,9
CytFB,Omentum,0
DerFB,Omentum,4
DevFB,Omentum,0
EpiFB,Omentum,0
FCC,Omentum,22
FCPC,Omentum,7
iCAF,Omentum,915
LipFB,Omentum,0
MetFB,Omentum,4
myoCAF,Omentum,79
PapFB,Omentum,0
ProFB,Omentum,0
UniFB,Omentum,2633
ActFB,Pancreas,41
apCAF,Pancreas,1
CycFB,Pancreas,3
CytFB,Pancreas,0
DerFB,Pancreas,0
DevFB,Pancreas,0
EpiFB,Pancreas,0
FCC,Pancreas,0
