Trait	CellType	mcz	mcp
CVD	EpiFB	1.9026662	0.043956045
CVD	FCC	1.038041	0.14885116
CVD	FCPC	2.1380312	0.023976024
CVD	iCAF	4.9391274	0.001998002
CVD	LipFB	3.3553455	0.007992008
CVD	MetFB	3.3239338	0.002997003
CVD	myoCAF	3.3706765	0.007992008
CVD	PapFB	1.4963971	0.062937066
CVD	ProFB	4.744041	0.001998002
CVD	UniFB	4.76685	0.001998002
DBP	ActFB	5.098227	0.000999001
DBP	apCAF	8.873344	0.000999001
DBP	CycFB	7.9121428	0.000999001
DBP	CytFB	10.433755	0.000999001
DBP	DerFB	-0.7225637	0.76323676
DBP	DevFB	2.959399	0.001998002
DBP	EpiFB	2.5530822	0.014985015
DBP	FCC	1.74966	0.04895105
DBP	FCPC	3.5693634	0.003996004
DBP	iCAF	2.818571	0.013986014
DBP	LipFB	7.817147	0.000999001
DBP	MetFB	4.2813997	0.000999001
DBP	myoCAF	5.671682	0.000999001
DBP	PapFB	3.1032317	0.002997003
DBP	ProFB	6.872839	0.000999001
DBP	UniFB	2.3260238	0.032967035
DrinkWeek	ActFB	1.4767364	0.075924076
DrinkWeek	apCAF	3.7514806	0.004995005
DrinkWeek	CycFB	1.4620856	0.08291708
DrinkWeek	CytFB	4.920008	0.000999001
DrinkWeek	DerFB	-0.9270633	0.83316684
DrinkWeek	DevFB	-0.846679	0.7992008
DrinkWeek	EpiFB	1.2703254	0.11788212
DrinkWeek	FCC	1.4775047	0.077922076
DrinkWeek	FCPC	0.48068342	0.2857143
DrinkWeek	iCAF	1.5470915	0.07692308
DrinkWeek	LipFB	4.1620145	0.000999001
DrinkWeek	MetFB	1.0885991	0.13686314
DrinkWeek	myoCAF	2.7390497	0.015984016
DrinkWeek	PapFB	0.7812546	0.22177823
DrinkWeek	ProFB	0.688658	0.2107892
DrinkWeek	UniFB	2.188422	0.038961038
ECOL	ActFB	6.0427756	0.000999001
ECOL	apCAF	12.720509	0.000999001
ECOL	CycFB	10.913439	0.000999001
ECOL	CytFB	15.031074	0.000999001
ECOL	DerFB	0.8231057	0.1958042
ECOL	DevFB	2.1816788	0.025974026
ECOL	EpiFB	3.1695297	0.001998002
ECOL	FCC	1.4702942	0.08191808
ECOL	FCPC	3.2379456	0.003996004
ECOL	iCAF	5.4651794	0.000999001
ECOL	LipFB	13.413475	0.000999001
ECOL	MetFB	3.0608394	0.006993007
ECOL	myoCAF	5.818437	0.000999001
ECOL	PapFB	3.3194566	0.000999001
ECOL	ProFB	9.723788	0.000999001
ECOL	UniFB	4.5949264	0.000999001
Eczema	ActFB	2.79201	0.012987013
Eczema	apCAF	4.112658	0.005994006
Eczema	CycFB	5.9142885	0.000999001
Eczema	CytFB	5.86967	0.000999001
Eczema	DerFB	1.5890106	0.055944055
Eczema	DevFB	2.2921648	0.013986014
Eczema	EpiFB	5.362027	0.000999001
Eczema	FCC	1.505164	0.07492507
Eczema	FCPC	1.837978	0.04895105
Eczema	iCAF	4.1504383	0.002997003
Eczema	LipFB	6.5155473	0.000999001
Eczema	MetFB	2.933033	0.006993007
Eczema	myoCAF	4.875867	0.001998002
Eczema	PapFB	0.80170685	0.20779221
Eczema	ProFB	4.882609	0.000999001
Eczema	UniFB	2.9152012	0.012987013
EOS	ActFB	3.6066947	0.002997003
EOS	apCAF	2.2022943	0.037962038
EOS	CycFB	5.2001715	0.001998002
EOS	CytFB	4.0800037	0.005994006
EOS	DerFB	2.1296945	0.02097902
EOS	DevFB	0.5878317	0.26973027
EOS	EpiFB	2.3992562	0.016983017
EOS	FCC	0.93462276	0.14585415
EOS	FCPC	2.782589	0.006993007
EOS	iCAF	3.1062443	0.011988012
EOS	LipFB	1.8228801	0.04995005
EOS	MetFB	2.0472875	0.03196803
EOS	myoCAF	7.495373	0.000999001
EOS	PapFB	-0.88927454	0.8071928
EOS	ProFB	1.6127094	0.05794206
EOS	UniFB	2.7346811	0.015984016
EY	ActFB	6.2935524	0.000999001
EY	apCAF	12.67234	0.000999001
EY	CycFB	10.3658495	0.000999001
EY	CytFB	15.1222515	0.000999001
EY	DerFB	0.35028654	0.33866134
EY	DevFB	1.2918862	0.10689311
EY	EpiFB	2.4699612	0.018981019
EY	FCC	1.3742087	0.09090909
EY	FCPC	2.8613656	0.007992008
EY	iCAF	5.0310154	0.001998002
EY	LipFB	14.291377	0.000999001
EY	MetFB	3.4521506	0.001998002
EY	myoCAF	6.2825046	0.000999001
EY	PapFB	3.1888804	0.000999001
EY	ProFB	10.753738	0.000999001
EY	UniFB	3.9663432	0.004995005
FEVi/FvC	ActFB	10.032373	0.000999001
FEVi/FvC	apCAF	11.066098	0.000999001
FEVi/FvC	CycFB	12.996184	0.000999001
FEVi/FvC	CytFB	11.175826	0.000999001
FEVi/FvC	DerFB	1.6791149	0.04795205
FEVi/FvC	DevFB	2.885777	0.000999001
FEVi/FvC	EpiFB	5.400891	0.000999001
FEVi/FvC	FCC	6.912513	0.000999001
FEVi/FvC	FCPC	8.784134	0.000999001
FEVi/FvC	iCAF	8.831566	0.000999001
FEVi/FvC	LipFB	11.80828	0.000999001
FEVi/FvC	MetFB	2.5491114	0.013986014
FEVi/FvC	myoCAF	8.812656	0.000999001
FEVi/FvC	PapFB	3.584947	0.000999001
FEVi/FvC	ProFB	8.669364	0.000999001
FEVi/FvC	UniFB	9.7559805	0.000999001
FG	ActFB	2.1576884	0.033966035
FG	apCAF	-0.04215137	0.4035964
FG	CycFB	-0.94551885	0.84115887
FG	CytFB	1.5058701	0.07892108
FG	DerFB	-0.352672	0.64435565
FG	DevFB	1.8035712	0.045954045
FG	EpiFB	0.34612444	0.34465533
FG	FCC	1.1922097	0.11788212
FG	FCPC	2.0938551	0.02997003
FG	iCAF	1.9888705	0.04095904
FG	LipFB	2.434618	0.02097902
FG	MetFB	2.8028467	0.010989011
FG	myoCAF	-0.29853776	0.5694306
FG	PapFB	-0.57471883	0.71628374
FG	ProFB	3.7002666	0.002997003
FG	UniFB	5.2256145	0.002997003
FVC	ActFB	8.936073	0.000999001
FVC	apCAF	11.05817	0.000999001
FVC	CycFB	13.141831	0.000999001
FVC	CytFB	13.606325	0.000999001
FVC	DerFB	-0.8178414	0.7992008
FVC	DevFB	1.3662286	0.09490509
FVC	EpiFB	3.4247074	0.004995005
FVC	FCC	3.5266824	0.006993007
FVC	FCPC	5.9033227	0.000999001
FVC	iCAF	6.116399	0.000999001
FVC	LipFB	12.808585	0.000999001
FVC	MetFB	2.450711	0.014985015
FVC	myoCAF	7.7388496	0.000999001
FVC	PapFB	3.1772776	0.000999001
FVC	ProFB	8.985891	0.000999001
FVC	UniFB	3.6538033	0.003996004
Glucose	ActFB	1.7001399	0.056943055
Glucose	apCAF	3.488771	0.010989011
Glucose	CycFB	-1.4984937	0.953047
Glucose	CytFB	3.3090177	0.010989011
Glucose	DerFB	0.46304855	0.3026973
Glucose	DevFB	1.1935316	0.13086914
Glucose	EpiFB	-0.9027032	0.82817185
Glucose	FCC	2.8676336	0.011988012
Glucose	FCPC	2.2556	0.023976024
Glucose	iCAF	3.4177642	0.002997003
Glucose	LipFB	2.5632036	0.015984016
Glucose	MetFB	0.6944163	0.22777222
Glucose	myoCAF	1.1780121	0.110889114
Glucose	PapFB	1.0069469	0.15984017
Glucose	ProFB	3.7124658	0.003996004
Glucose	UniFB	3.1526775	0.008991009
GRT	ActFB	3.9713864	0.001998002
GRT	apCAF	11.544436	0.000999001
GRT	CycFB	8.596363	0.000999001
GRT	CytFB	12.384464	0.000999001
GRT	DerFB	0.92035854	0.14885116
GRT	DevFB	1.555578	0.068931065
GRT	EpiFB	0.50910324	0.28671327
GRT	FCC	1.3035507	0.101898104
GRT	FCPC	1.5061506	0.07192807
GRT	iCAF	1.6286803	0.06593407
GRT	LipFB	10.272216	0.000999001
GRT	MetFB	2.4073958	0.015984016
GRT	myoCAF	4.935062	0.000999001
GRT	PapFB	1.1708211	0.116883114
GRT	ProFB	6.2239623	0.000999001
GRT	UniFB	2.4160001	0.013986014
HAIR	ActFB	1.3663495	0.0999001
HAIR	apCAF	2.3837407	0.030969031
HAIR	CycFB	2.3618364	0.022977022
HAIR	CytFB	1.8733169	0.051948052
HAIR	DerFB	2.0172837	0.026973028
HAIR	DevFB	-0.19483146	0.56443554
HAIR	EpiFB	1.1583751	0.12087912
HAIR	FCC	0.95367336	0.15684316
HAIR	FCPC	1.0184906	0.15384616
HAIR	iCAF	2.0292826	0.030969031
HAIR	LipFB	1.7005647	0.055944055
HAIR	MetFB	0.90550184	0.16183816
HAIR	myoCAF	1.8600597	0.05294705
HAIR	PapFB	-0.10462722	0.5514485
HAIR	ProFB	5.146244	0.000999001
HAIR	UniFB	0.14141315	0.3836164
HbA1c	ActFB	3.6631176	0.002997003
HbA1c	apCAF	0.49985436	0.24475524
HbA1c	CycFB	-0.8776205	0.8111888
HbA1c	CytFB	3.3498178	0.013986014
HbA1c	DerFB	1.9418968	0.02897103
HbA1c	DevFB	1.5098274	0.07192807
HbA1c	EpiFB	-0.08706274	0.5104895
HbA1c	FCC	2.248112	0.026973028
HbA1c	FCPC	3.7729545	0.001998002
HbA1c	iCAF	7.9591107	0.000999001
HbA1c	LipFB	5.03101	0.000999001
HbA1c	MetFB	2.3537176	0.018981019
HbA1c	myoCAF	3.4126697	0.00999001
HbA1c	PapFB	0.94084746	0.18281718
HbA1c	ProFB	4.684124	0.000999001
HbA1c	UniFB	10.1647835	0.000999001
HDL	ActFB	3.1062968	0.013986014
HDL	apCAF	0.5323437	0.21978022
HDL	CycFB	4.5371966	0.003996004
HDL	CytFB	4.536844	0.003996004
HDL	DerFB	2.8775032	0.004995005
HDL	DevFB	1.0558925	0.14385614
HDL	EpiFB	2.3531554	0.022977022
HDL	FCC	4.511812	0.001998002
HDL	FCPC	4.572507	0.000999001
HDL	iCAF	8.072391	0.000999001
HDL	LipFB	5.68567	0.000999001
HDL	MetFB	3.4459307	0.003996004
HDL	myoCAF	7.7890806	0.000999001
HDL	PapFB	-0.5375129	0.7152847
HDL	ProFB	3.2786837	0.002997003
HDL	UniFB	5.033749	0.000999001
Height	ActFB	0.19311248	0.36463538
Height	apCAF	1.1260444	0.13786213
Height	CycFB	0.25428197	0.35364637
Height	CytFB	2.8287747	0.015984016
Height	DerFB	0.51493806	0.27372628
Height	DevFB	1.518818	0.07292707
Height	EpiFB	1.113692	0.11188811
Height	FCC	1.1736497	0.12087912
Height	FCPC	0.8431584	0.17982018
Height	iCAF	2.9785142	0.014985015
Height	LipFB	3.6130834	0.004995005
Height	MetFB	2.4079113	0.021978023
Height	myoCAF	0.13435449	0.3756244
Height	PapFB	-0.119716875	0.57342654
Height	ProFB	2.860824	0.010989011
Height	UniFB	2.077808	0.035964034
HT	ActFB	2.6386614	0.015984016
HT	apCAF	0.5689806	0.22277722
HT	CycFB	4.058651	0.002997003
HT	CytFB	3.7019658	0.007992008
HT	DerFB	1.2413985	0.1058941
HT	DevFB	0.15827546	0.4215784
HT	EpiFB	1.3980453	0.08591408
HT	FCC	3.1546516	0.006993007
HT	FCPC	3.9985538	0.001998002
HT	iCAF	1.707051	0.054945055
HT	LipFB	1.9489669	0.037962038
HT	MetFB	1.1865109	0.121878125
HT	myoCAF	3.9823503	0.003996004
HT	PapFB	-1.2180661	0.8901099
HT	ProFB	1.2088733	0.112887114
HT	UniFB	0.326748	0.2997003
HTN	ActFB	4.0736723	0.001998002
HTN	apCAF	6.794869	0.000999001
HTN	CycFB	5.0651007	0.000999001
HTN	CytFB	9.583751	0.000999001
HTN	DerFB	0.035918243	0.48151848
HTN	DevFB	2.666501	0.004995005
HTN	EpiFB	1.5072496	0.075924076
HTN	FCC	2.0168824	0.035964034
HTN	FCPC	2.639355	0.012987013
HTN	iCAF	5.355961	0.000999001
HTN	LipFB	6.71786	0.000999001
HTN	MetFB	3.7054622	0.000999001
HTN	myoCAF	5.30912	0.000999001
HTN	PapFB	1.4153858	0.075924076
HTN	ProFB	7.1333737	0.000999001
HTN	UniFB	5.5660553	0.001998002
IBD	ActFB	6.9548755	0.000999001
IBD	apCAF	1.1227945	0.114885114
IBD	CycFB	6.400793	0.000999001
IBD	CytFB	2.9939754	0.013986014
IBD	DerFB	1.2140509	0.121878125
IBD	DevFB	1.4949316	0.07092907
IBD	EpiFB	2.851683	0.008991009
IBD	FCC	3.5973973	0.007992008
IBD	FCPC	7.3530293	0.000999001
IBD	iCAF	4.12111	0.002997003
IBD	LipFB	8.370961	0.000999001
IBD	MetFB	7.420023	0.000999001
IBD	myoCAF	8.209407	0.000999001
IBD	PapFB	-0.6837858	0.7532467
IBD	ProFB	4.7105107	0.000999001
IBD	UniFB	5.476692	0.001998002
Insomnia	ActFB	0.1981364	0.35364637
Insomnia	apCAF	4.805768	0.004995005
Insomnia	CycFB	2.1636138	0.03196803
Insomnia	CytFB	6.655097	0.000999001
Insomnia	DerFB	0.26244402	0.3756244
